County,Region,geoid,Typical Afternoon Temperature in deg F,Tree Canopy %,Total Population,Population Age < 5,Population Age > 65
Anne Arundel County,Baltimore,24003751102,94.3664524385022,11.7933560367538,4162,176,854
Baltimore County,Baltimore,24005400100,93.203094690121,31.0228767515013,4835,495,2187
Baltimore County,Baltimore,24005400200,93.4030702304405,14.4600116754232,2423,78,250
Baltimore County,Baltimore,24005400400,91.5488593744743,40.7932172869148,5738,200,1124
Baltimore County,Baltimore,24005400600,93.510571028262,23.4739756367663,3075,246,316
Baltimore County,Baltimore,24005400701,94.3907851958893,12.8645219755324,2815,161,273
Baltimore County,Baltimore,24005400702,94.1997393565968,9.23926380368099,2017,201,283
Baltimore County,Baltimore,24005400800,93.7330053015012,15.1233077204537,2746,105,423
Baltimore County,Baltimore,24005400900,93.4932061535043,24.9004214963119,1953,131,296
Baltimore County,Baltimore,24005401000,93.4145655372767,28.5532168387609,2371,89,597
Baltimore County,Baltimore,24005401101,94.1446318752481,10.8031582813074,5939,306,877
Baltimore County,Baltimore,24005401102,94.2878708907294,18.5034954171198,898,33,204
Baltimore County,Baltimore,24005401200,92.6912233739748,27.4018151815181,3142,170,437
Baltimore County,Baltimore,24005401301,94.4180786006658,8.48883720930232,4122,184,469
Baltimore County,Baltimore,24005401302,93.9159066354345,20.4281842818428,2756,158,367
Baltimore County,Baltimore,24005401505,94.063943720166,13.116916588566,4290,172,981
Baltimore County,Baltimore,24005402304,93.8454133252694,7.19092495636998,3728,190,873
Baltimore County,Baltimore,24005402403,92.1399722596928,32.8893390731831,2023,7,524
Baltimore County,Baltimore,24005402404,93.4783946832173,13.3425396825397,4953,269,868
Baltimore County,Baltimore,24005402405,94.0133037922571,11.5689851767389,3925,159,663
Baltimore County,Baltimore,24005403100,92.1393492053788,38.7779027270172,2459,78,710
Baltimore County,Baltimore,24005403201,93.353150926401,19.2064752596212,3170,122,615
Baltimore County,Baltimore,24005403202,93.1573886806483,30.3874080882353,2256,89,521
Baltimore County,Baltimore,24005420100,95.3523722847733,2.32590163934426,3827,225,652
Baltimore County,Baltimore,24005420200,94.8884742371765,6.82632375189108,3017,212,594
Baltimore County,Baltimore,24005420301,95.2696192540082,0.284035259549461,2296,162,222
Baltimore County,Baltimore,24005420302,95.1238436566285,5.91518737672584,2462,239,201
Baltimore County,Baltimore,24005420303,95.4334096200941,3.61286254728878,1272,84,222
Baltimore County,Baltimore,24005420401,95.1194517395791,1.53480475382003,6894,441,696
Baltimore County,Baltimore,24005420402,95.3513561473525,2.88160136286201,1944,99,280
Baltimore County,Baltimore,24005420500,95.6994373973891,1.61805555555555,3672,364,498
Baltimore County,Baltimore,24005420600,95.0389286469211,9.13886010362694,4077,290,807
Baltimore County,Baltimore,24005420701,95.4070841774896,8.08980733374768,2975,228,526
Baltimore County,Baltimore,24005420702,95.0154561746697,0.684828164291702,2121,131,347
Baltimore County,Baltimore,24005420800,95.3380368001506,3.64445790430042,3046,152,681
Baltimore County,Baltimore,24005420900,95.0658241542129,1.31948051948052,3441,301,400
Baltimore County,Baltimore,24005421000,95.0494687007767,1.61950549450549,1973,95,325
Baltimore County,Baltimore,24005421101,94.9049783634082,2.68085106382979,2740,148,417
Baltimore County,Baltimore,24005421102,95.3546642719364,1.51076221828311,2666,92,513
Baltimore County,Baltimore,24005421200,94.7777281452153,5.57057772483622,1827,114,296
Baltimore County,Baltimore,24005421300,94.7244160778717,5.443250327654,2827,88,489
Baltimore County,Baltimore,24005430101,93.8018172854924,18.7703296703296,5025,566,314
Baltimore County,Baltimore,24005430104,94.2476803507229,13.4963768115942,2919,236,380
Baltimore County,Baltimore,24005430200,94.6354283232252,12.0045030556449,2795,135,441
Baltimore County,Baltimore,24005430300,93.8807457175181,15.9445398773006,5682,734,640
Baltimore County,Baltimore,24005430400,94.7487358313488,17.0236650939864,4196,277,505
Baltimore County,Baltimore,24005430600,92.3670994661275,37.3533479313127,2320,119,485
Baltimore County,Baltimore,24005430700,93.879135396956,15.579756097561,5102,356,631
Baltimore County,Baltimore,24005430800,94.509094703607,9.8073575949367,3509,219,488
Baltimore County,Baltimore,24005430900,94.4479927771023,9.0778065950352,4165,328,490
Baltimore County,Baltimore,24005440400,93.5728679748681,21.8058291457286,5264,231,823
Baltimore County,Baltimore,24005440701,93.9723941562554,22.3795851078446,6712,604,710
Baltimore County,Baltimore,24005440900,93.7772007525842,19.9406023424429,4014,310,469
Baltimore County,Baltimore,24005441000,93.9559215832107,15.9304213374565,3980,381,331
Baltimore County,Baltimore,24005441101,93.8176081021463,20.2094903339192,2305,112,418
Baltimore County,Baltimore,24005441102,94.1285611731652,15.9786616946343,4965,345,1094
Baltimore County,Baltimore,24005450100,94.0495553495152,22.116544417278,3629,137,841
Baltimore County,Baltimore,24005450200,93.9867407964422,14.2727989487516,3196,144,681
Baltimore County,Baltimore,24005450300,94.0388333602385,14.4774106540796,3213,206,723
Baltimore County,Baltimore,24005450400,94.6599892226197,8.71208691715708,2297,98,454
Baltimore County,Baltimore,24005450501,93.8082670350093,18.3032531194296,4185,220,766
Baltimore County,Baltimore,24005450503,94.1753312346536,8.80905397562391,6214,953,494
Baltimore County,Baltimore,24005450504,93.844083001501,10.4520611394164,5143,487,365
Baltimore County,Baltimore,24005450800,93.9186613095794,22.5237108059082,4211,292,926
Baltimore County,Baltimore,24005451100,92.5265845593544,36.7073022312374,2291,114,216
Baltimore County,Baltimore,24005451200,94.6056158207618,13.7518403926171,3875,177,826
Baltimore County,Baltimore,24005451300,93.8256792316761,19.0482741370686,3754,167,628
Baltimore County,Baltimore,24005451401,94.778919032934,1.14307692307692,4086,358,204
Baltimore County,Baltimore,24005451500,95.7777742290605,5.81091617933723,3981,279,443
Baltimore County,Baltimore,24005452000,94.0932808887324,16.1223860130271,2584,61,623
Baltimore County,Baltimore,24005452100,94.5252212039543,15.6996625421822,3221,231,722
Baltimore County,Baltimore,24005452300,95.656447851059,4.74559193954662,2793,95,304
Baltimore County,Baltimore,24005452400,94.1902253021652,19.8647370248221,3366,144,611
Baltimore County,Baltimore,24005452500,95.1148828765148,6.9145009416196,3909,169,614
Baltimore County,Baltimore,24005492300,94.9361632207904,7.03596802841917,3849,332,422
Baltimore County,Baltimore,24005492500,93.7227078570357,23.6224989791751,3031,9,41
Baltimore County,Baltimore,24005980000,94.7524806738502,4.50389014072534,0,0,0
Baltimore County,Baltimore,24005980100,93.0672700516583,17.1902919451284,0,0,0
Baltimore County,Baltimore,24005980200,93.5938125521309,20.5876690350676,0,0,0
Howard County,Baltimore,24027601201,92.4517291325702,36.8789746463089,8763,703,752
Baltimore city,Baltimore,24510010100,94.986846888487,0.0,3035,137,408
Baltimore city,Baltimore,24510010200,95.5389621423811,0.862121212121213,2858,147,226
Baltimore city,Baltimore,24510010300,95.4650137495097,2.51536643026005,2380,139,152
Baltimore city,Baltimore,24510010400,95.2422875831707,0.0,2834,189,295
Baltimore city,Baltimore,24510010500,96.1673585847367,0.0,1888,137,156
Baltimore city,Baltimore,24510020100,96.3341421285809,0.0,1636,120,114
Baltimore city,Baltimore,24510020200,96.0983075893739,0.0,1678,97,122
Baltimore city,Baltimore,24510020300,94.7338975069148,0.0,3761,158,403
Baltimore city,Baltimore,24510030100,96.3537719416321,0.255989911727616,2386,52,317
Baltimore city,Baltimore,24510030200,95.2590142207585,0.0,2273,166,253
Baltimore city,Baltimore,24510040100,95.9861418665644,0.0,5051,243,170
Baltimore city,Baltimore,24510040200,95.2769808827639,0.483394833948339,984,0,19
Baltimore city,Baltimore,24510060100,97.6966440445831,0.900452488687785,2653,335,208
Baltimore city,Baltimore,24510060200,98.7158921437396,0.0,3037,183,150
Baltimore city,Baltimore,24510060300,98.569413711159,0.0,1881,141,161
Baltimore city,Baltimore,24510060400,97.6251830910772,0.429813664596274,1561,93,209
Baltimore city,Baltimore,24510070100,97.7454705508323,0.489719626168224,2966,425,282
Baltimore city,Baltimore,24510070200,99.1348613085276,0.202072538860103,3696,340,297
Baltimore city,Baltimore,24510070300,97.9606882176659,0.0,900,24,113
Baltimore city,Baltimore,24510070400,95.9119906017424,0.0,1601,98,210
Baltimore city,Baltimore,24510080101,94.931021837406,12.7027089604075,3869,206,313
Baltimore city,Baltimore,24510080102,95.5231021624979,6.12903225806452,2159,101,165
Baltimore city,Baltimore,24510080200,96.1059875416232,1.3410950283197,1164,105,226
Baltimore city,Baltimore,24510080301,98.1171322512494,0.268924302788845,1759,185,243
Baltimore city,Baltimore,24510080302,96.0880755653007,0.232843137254902,2906,102,724
Baltimore city,Baltimore,24510080400,97.7048555787202,0.493534482758622,1263,80,119
Baltimore city,Baltimore,24510080500,96.8670208684611,1.27258566978193,1410,100,204
Baltimore city,Baltimore,24510080600,97.2528514741787,0.016,1932,150,323
Baltimore city,Baltimore,24510080700,97.1121595104748,0.976702508960574,604,26,83
Baltimore city,Baltimore,24510080800,95.9396669726461,0.506600660066006,1583,135,77
Baltimore city,Baltimore,24510090100,94.4537747164067,9.21323529411766,3758,233,596
Baltimore city,Baltimore,24510090200,94.2796416481488,10.7130295763389,2756,66,599
Baltimore city,Baltimore,24510090300,95.6441586127536,4.66324435318274,4476,298,812
Baltimore city,Baltimore,24510090400,96.2895778877727,4.42215568862276,1520,136,112
Baltimore city,Baltimore,24510090500,95.7057995156996,4.62214285714285,1747,87,189
Baltimore city,Baltimore,24510090600,95.4736365710623,0.518666666666667,3010,231,480
Baltimore city,Baltimore,24510090700,96.2940942299719,1.54444444444444,2950,130,438
Baltimore city,Baltimore,24510090800,96.8795329110635,1.03562340966921,2709,175,514
Baltimore city,Baltimore,24510090900,96.5336346931563,3.46123727486296,2691,262,342
Baltimore city,Baltimore,24510100100,97.0121918399567,0.306049822064057,2259,111,328
Baltimore city,Baltimore,24510100200,97.3957109341016,0.521968365553603,2858,94,378
Baltimore city,Baltimore,24510100300,97.9070601527708,0.0,3326,0,12
Baltimore city,Baltimore,24510110100,97.4852372473146,0.0782312925170068,3177,24,82
Baltimore city,Baltimore,24510110200,97.0353564400978,0.325093632958801,5968,18,1052
Baltimore city,Baltimore,24510120100,93.9503987834183,24.5997920997921,4787,168,1169
Baltimore city,Baltimore,24510120201,96.2818227541262,6.54258675078864,2227,116,206
Baltimore city,Baltimore,24510120202,95.021923510201,15.226249313564,5272,63,199
Baltimore city,Baltimore,24510120300,97.1284825121802,1.16554508748318,4153,242,316
Baltimore city,Baltimore,24510120400,97.6435452436792,0.0954198473282441,1842,98,123
Baltimore city,Baltimore,24510120500,97.2783228780515,0.539778449144008,2190,59,230
Baltimore city,Baltimore,24510120600,97.4368887430988,0.26567481402763,2814,166,419
Baltimore city,Baltimore,24510120700,96.2449339685953,4.76518218623482,2207,112,157
Baltimore city,Baltimore,24510130100,96.1301769682411,1.56834532374101,2558,220,292
Baltimore city,Baltimore,24510130200,96.0158140153304,2.02006172839506,2751,97,346
Baltimore city,Baltimore,24510130300,95.8782325015694,0.203288490284006,2222,101,264
Baltimore city,Baltimore,24510130400,93.4688088876625,32.3417286777333,2171,128,226
Baltimore city,Baltimore,24510130600,95.3373868172001,10.1993846153846,3614,195,231
